tweet_id,term
257,whitehelmet
257,moder
257,terrorist
257,present
257,ceremoni
257,piti
258,_pvrcinema
258,memori
258,geisha
258,pvr
258,oscar
259,sophieciglen
259,god
259,bless
259,librarian
259,oscar
260,izhan_go
260,en
260,realidad
260,soi
260,de
260,nesquick
260,oscar
261,franceinla
261,celebr
261,cinema
261,resid
261,franc
261,french
261,oscar
261,nomine
261,proud
261,accomplish
261,http
262,fiftyshadesen
262,add
262,now
262,hq
262,oscar
262,includ
262,ammaz
262,new
262,pic
263,allaboutmariah
263,queen
263,mariahcarei
263,look
263,maze
263,vaniti
263,fair
263,oscar
263,bash
263,good
263,see
263,billion
263,dollar
263,leg
264,neontast
264,version
264,beaten
264,moonlight
264,oscar
265,iamsteveharvei
265,call
265,warren
265,beatti
265,can
265,help
265,get
265,oscar
266,dakohol
266,three
266,ladi
266,photobomb
266,rees
266,witherspoon
266,instagram
